Company Name,Index,CALENDAR_YEAR,CALENDAR_QTR,USD_Value,Local_Currency,VAL_UNIT,Local_Value
Baidu,Cost of Goods Sold,2020,Q1,2104.1,CNY,Million,14687.0
Baidu,Operating Expense,2020,Q1,3292.46,CNY,Million,22982.0
Baidu,Operating Income,2020,Q1,-62.61,CNY,Million,-437.0
Baidu,Revenue,2020,Q1,3229.85,CNY,Million,22545.0
Baidu,Tax Expense,2020,Q1,28.37,CNY,Million,198.0
Baidu,Total Asset,2020,Q1,42220.32,CNY,Million,299017.0
Baidu,Cost of Goods Sold,2020,Q2,1853.15,CNY,Million,13134.0
Baidu,Operating Expense,2020,Q2,3159.13,CNY,Million,22390.0
Baidu,Operating Income,2020,Q2,514.15,CNY,Million,3644.0
Baidu,Revenue,2020,Q2,3673.29,CNY,Million,26034.0
Baidu,Tax Expense,2020,Q2,172.42,CNY,Million,1222.0
Baidu,Total Asset,2020,Q2,43092.82,CNY,Million,304468.0
Baidu,Cost of Goods Sold,2020,Q3,1852.85,CNY,Million,12815.0
Baidu,Operating Expense,2020,Q3,3191.85,CNY,Million,22076.0
Baidu,Operating Income,2020,Q3,890.06,CNY,Million,6156.0
Baidu,Revenue,2020,Q3,4081.91,CNY,Million,28232.0
Baidu,Tax Expense,2020,Q3,233.94,CNY,Million,1618.0
Baidu,Total Asset,2020,Q3,46346.93,CNY,Million,314742.0
Baidu,Cost of Goods Sold,2020,Q4,2198.54,CNY,Million,14522.0
Baidu,Operating Expense,2020,Q4,3828.15,CNY,Million,25286.0
Baidu,Operating Income,2020,Q4,753.49,CNY,Million,4977.0
Baidu,Revenue,2020,Q4,4581.63,CNY,Million,30263.0
Baidu,Tax Expense,2020,Q4,155.33,CNY,Million,1026.0
Baidu,Total Asset,2020,Q4,50972.55,CNY,Million,332708.0
Baidu,Cost of Goods Sold,2021,Q1,2313.65,CNY,Million,15002.0
Baidu,Operating Expense,2021,Q1,3908.78,CNY,Million,25345.0
Baidu,Operating Income,2021,Q1,430.13,CNY,Million,2789.0
Baidu,Revenue,2021,Q1,4338.9,CNY,Million,28134.0
Baidu,Tax Expense,2021,Q1,236.58,CNY,Million,1534.0
Baidu,Total Asset,2021,Q1,57890.09,CNY,Million,379348.0
Baidu,Cost of Goods Sold,2021,Q2,2462.05,CNY,Million,15897.0
Baidu,Operating Expense,2021,Q2,4319.0,CNY,Million,27887.0
Baidu,Operating Income,2021,Q2,536.33,CNY,Million,3463.0
Baidu,Revenue,2021,Q2,4855.33,CNY,Million,31350.0
Baidu,Tax Expense,2021,Q2,340.26,CNY,Million,2197.0
Baidu,Total Asset,2021,Q2,60287.28,CNY,Million,389287.0
Baidu,Cost of Goods Sold,2021,Q3,2492.26,CNY,Million,16126.0
Baidu,Operating Expense,2021,Q3,4576.67,CNY,Million,29613.0
Baidu,Operating Income,2021,Q3,356.7,CNY,Million,2308.0
Baidu,Revenue,2021,Q3,4933.37,CNY,Million,31921.0
Baidu,Tax Expense,2021,Q3,-284.22,CNY,Million,-1839.0
Baidu,Total Asset,2021,Q3,59638.16,CNY,Million,384356.0
