Company Name,CALENDAR_YEAR,CALENDAR_QTR,Transcript_Filename,Local_Currency
Baidu,2020,Q1,"Baidu, Inc. (NASDAQ BIDU) Q1 2020 Earnings Conference Call",CNY
Baidu,2020,Q2,"Baidu, Inc. (NASDAQ BIDU) Q2 2020 ",CNY
Baidu,2020,Q3,"Baidu, Inc. (NASDAQ BIDU) Q3 2020 Earnings Conference Call",CNY
Baidu,2020,Q4,"Baidu, Inc. (NASDAQ BIDU) Q4 2020 Earnings Conference Call",CNY
Baidu,2021,Q1,"Baidu, Inc. (NASDAQ BIDU)  Q1 2021 Earnings Conference Call",CNY
Baidu,2021,Q2,Baidu Inc. (NASDAQ BIDU)  Q2 2021 Earnings Conference Call,CNY
Baidu,2021,Q3,"Baidu, Inc. (NASDAQ BIDU) Q3 2021 Results Conference Call",CNY
Baidu,2021,Q4,"Baidu, Inc. (NASDAQ BIDU) Q4 2021 Earnings Conference Call",CNY
Baidu,2022,Q1,"Baidu, Inc. (NASDAQ BIDU) Q1 2022 Results Conference Call",CNY
Baidu,2022,Q2,"Baidu, Inc. (NASDAQ BIDU) Q2 2022 Results Conference Call",CNY
Baidu,2022,Q3,"Baidu, Inc. (NASDAQ BIDU) Q3 2022 Earnings Conference Call",CNY
Baidu,2022,Q4,"Baidu, Inc. (NASDAQ BIDU) Q4 2022 Earnings Conference Call",CNY
Baidu,2023,Q1,"Baidu, Inc. (NASDAQ BIDU) Q1 2023 Earnings Conference Call",CNY
Baidu,2023,Q2,"Baidu, Inc. (NASDAQ BIDU) Q2 2023 Earnings Conference Call",CNY
Baidu,2023,Q3,"Baidu, Inc. (NASDAQ BIDU) Q3 2023 Earnings Conference Call",CNY
Baidu,2023,Q4,"Baidu, Inc. (NASDAQ BIDU) Q4 2023 Earnings Conference Call",CNY
Baidu,2024,Q1,Baidu Inc. (NASDAQ BIDU) Q1 2024 Earnings Conference Call,CNY
Baidu,2024,Q2,"Baidu, Inc. (NASDAQ BIDU) Q2 2024 Earnings Conference Call",CNY
Baidu,2024,Q3,"Baidu, Inc. (NASDAQ BIDU) Q3 2024 Earnings Conference Call",CNY
Tencent,2020,Q1,Tencent Holdings Limited (OTCPK TCEHY) Q1 2020 Results Earnings Conference Call,CNY
Tencent,2020,Q2,Tencent Holdings Limited (OTCPK TCEHY) Q2 2020 Results Earnings Conference Call,CNY
Tencent,2020,Q3,Tencent Holdings Limited (OTCPK TCEHY) Q3 2020 Earnings Conference Call,CNY
Tencent,2020,Q4,Tencent Holdings Limited (OTCPK TCEHY) Q4 2020 Earnings Conference Call,CNY
Tencent,2021,Q1,Tencent Holdings Limited (OTCPK TCEHY) Q1 2021 Earnings Conference Call,CNY
Tencent,2021,Q2,Tencent Holdings Limited (OTCPK TCEHY) Q2 2021 Earnings Conference Call,CNY
Tencent,2021,Q3,Tencent Holdings Limited (OTCPK TCEHY)  Q3 2021 Earnings Conference Call,CNY
Tencent,2021,Q4,Tencent Holdings Limited (OTCPK TCEHY) Q4 2021 Earnings Conference Call,CNY
Tencent,2022,Q1,Tencent Holdings Limited (OTCPK TCEHY) Q1 2022 Earnings Conference Call,CNY
Tencent,2022,Q2,Tencent Holdings Limited (OTCPK TCEHY) Q2 2022 Results Conference Call,CNY
Tencent,2022,Q3,Tencent Holdings Limited (OTCPK TCEHY) Q3 2022 Earnings Conference Call,CNY
Tencent,2022,Q4,Tencent Holdings Limited (OTCPK TCEHY) Q4 2022 Results Conference Call,CNY
Tencent,2023,Q1,Tencent Holdings Limited (OTCPK TCEHY) Q1 2023 Earnings Conference Call,CNY
Tencent,2023,Q2,Tencent Holdings Limited (OTCPK TCEHY) Q2 2023 Earnings Conference Call,CNY
Tencent,2023,Q3,Tencent Holdings Limited (OTCPK TCEHY) Q3 2023 Results Conference Call,CNY
Tencent,2023,Q4,Tencent Holdings Ltd. (OTCPK TCTZF) Q4 2023 Earnings Conference Call,CNY
Tencent,2024,Q1,Tencent Holdings Ltd. (OTCPK TCEHY) Q1 2024 Earnings Conference Call,CNY
Tencent,2024,Q2,Tencent Holdings Limited (OTCPK TCEHY) Q2 2024 Earnings Conference Call,CNY
Tencent,2024,Q3,Tencent Holdings Limited (OTCPK TCEHY) Q3 2024 Earnings Conference Call,CNY
