Company Name,CALENDAR_YEAR,CALENDAR_QTR,Transcript_Filename,Local_Currency
Samsung,2020,Q1,Samsung Electronics Co Ltd (OTC SSNLF) Q1 2020 Earnings Conference Call,KRW
Samsung,2020,Q2,Samsung Electronics Co Ltd (OTC SSNLF) Q2 2020 Earnings Conference Call,KRW
Samsung,2020,Q3,"Samsung Electronics Co., Ltd. (OTC SSNLF) Q3 2020 Earnings Conference Call",KRW
Samsung,2020,Q4,"Samsung Electronics Co., Ltd. (OTC SSNLF) Q4 2020 Earnings Conference Call",KRW
Samsung,2021,Q1,"Samsung Electronics Co., Ltd. (OTC SSNLF) Q1 2021 Earnings Conference Call",KRW
Samsung,2021,Q2,Samsung Electronics Co Ltd (OTC SSNLF) Q2 2021 Earnings Conference Call,KRW
Samsung,2021,Q3,"Samsung Electronics Co., Ltd. (OTC SSNLF)  Q3 2021 Earnings Conference Call",KRW
Samsung,2021,Q4,Samsung Electronics Co Ltd (OTC SSNLF) Q4 2021 Earnings Conference Call,KRW
Samsung,2022,Q1,Samsung Electronics Co Ltd (OTC SSNLF) Q1 2022 Earnings Conference Call,KRW
Samsung,2022,Q2,"Samsung Electronics Co., Ltd. (OTCPK SSNLF) Q2 2022 Earnings Conference Call",KRW
Samsung,2022,Q3,"Samsung Electronics Co., Ltd. (OTCPK SSNLF) Q3 2022 Results Earnings Conference Call",KRW
Samsung,2022,Q4,"Samsung Electronics Co,. Ltd. (OTCPK SSNLF) Q4 2022 Results Conference Call",KRW
Samsung,2023,Q1,"Samsung Electronics Co., Ltd. (OTCPK SSNLF) Q1 2023 Earnings Conference Call",KRW
Samsung,2023,Q2,Samsung Electronics Co Ltd (OTCPK SSNLF) Q2 2023 Earnings Conference Call,KRW
Samsung,2023,Q3,"Samsung Electronics Co., Ltd. (OTCPK SSNLF) Q3 2023 Earnings Conference Call",KRW
Samsung,2023,Q4,"Samsung Electronics Co., Ltd. (OTCPK SSNLF) Q4 2023 Earnings Conference Call",KRW
Samsung,2024,Q1,Samsung Electronics Co Ltd (OTCPK SSNLF) Q1 2024 Earnings Conference Call,KRW
Samsung,2024,Q2,"Samsung Electronics Co., Ltd. (OTCPK SSNLF) Q2 2024 Earnings Conference Call",KRW
